Supplier,SupplierType,OnTimeDelivery,DefectRate,CostVariance,ComplianceScore,LeadTime,FulfillmentRate,ResponseTime
Doaba Fasteners Vendor-1,Fasteners,93,5,5,82,4,88,6
Precision Fasteners Vendor-2,Fasteners,83,1,2,77,5,92,5
Prime Metal Fabricators Vendor-3,Steel,76,12,12,97,10,98,2
Titan Tooling Solutions Vendor-4,Tools,78,1,14,100,4,98,3
BearingTech Industries Vendor-5,Bearings,76,6,3,77,8,88,3
Metro Auto Industries Vendor-6,Auto Components,78,1,13,89,10,88,4
Precision Fasteners Vendor-7,Fasteners,79,11,11,86,11,91,6
Doaba Fasteners Vendor-8,Fasteners,91,4,14,84,3,92,1
JMD Manufacturing Support Vendor-9,Engineering,84,11,15,86,4,96,3
Industrial Elastomers Vendor-10,Rubber,92,11,12,77,11,90,5
RubberTech Solutions Vendor-11,Rubber,84,7,6,95,10,92,6
Velocity Auto Parts Vendor-12,Auto Components,77,1,14,85,8,93,1
FlexiRubber Products Vendor-13,Rubber,98,12,7,81,12,100,4
ToolCraft Industries Vendor-14,Tools,78,3,5,98,10,93,6
Apex Engineering Systems Vendor-15,Engineering,82,6,5,79,10,100,1
Punjab Steel Works Vendor-16,Steel,74,11,4,100,12,98,5
Industrial Bolt Works Vendor-17,Fasteners,82,10,9,91,6,85,6
Precision Fasteners Vendor-18,Fasteners,94,5,14,95,7,88,3
Northern Engineering Ltd Vendor-19,Engineering,84,1,13,98,6,90,5
FastenPro Industries Vendor-20,Fasteners,96,11,10,94,5,89,3
Northern Cast Components Vendor-21,Castings,94,9,2,94,7,100,1
FastenPro Industries Vendor-22,Fasteners,98,5,5,76,5,87,1
Apex Industrial Tools Vendor-23,Tools,94,9,14,79,4,100,5
Elite Cast Products Vendor-24,Castings,86,10,8,81,10,91,6
Motion Bearing Systems Vendor-25,Bearings,91,11,7,89,10,99,1
RubberTech Solutions Vendor-26,Rubber,72,6,2,93,10,92,5
Punjab Rubber Industries Vendor-27,Rubber,72,12,12,76,5,87,1
Velocity Auto Parts Vendor-28,Auto Components,86,4,6,96,9,91,5
Northern Cast Components Vendor-29,Castings,88,8,5,100,9,98,2
Doaba Fasteners Vendor-30,Fasteners,91,7,7,88,8,99,6
Punjab Steel Works Vendor-31,Steel,71,7,13,85,3,92,2
FlexiRubber Products Vendor-32,Rubber,84,3,8,80,6,99,2
Industrial Bolt Works Vendor-33,Fasteners,95,9,3,76,12,85,1
RubberTech Solutions Vendor-34,Rubber,83,8,9,81,8,86,2
Shakti Engineering Supplies Vendor-35,Engineering,82,5,14,100,9,94,4
ToolCraft Industries Vendor-36,Tools,76,5,5,76,11,86,6
Velocity Auto Parts Vendor-37,Auto Components,71,10,9,91,10,90,1
Titan Fastening Systems Vendor-38,Fasteners,72,10,3,96,5,97,1
FlexiRubber Products Vendor-39,Rubber,89,1,11,77,8,95,3
Industrial Elastomers Vendor-40,Rubber,77,5,8,79,12,94,4
Velocity Auto Parts Vendor-41,Auto Components,70,8,11,93,3,87,5
FlexiRubber Products Vendor-42,Rubber,78,3,7,77,5,96,3
FoundryTech Castings Vendor-43,Castings,96,9,13,84,11,85,6
